req_id,department,function,title,approved_date,planned_start_date,actual_start_date,req_type,status,budgeted_salary,linked_employee_id
REQ-0027,Product & Design,Product & Design,Senior Product Manager,2025-07-08,2025-09-11,2025-10-04,Backfill,Filled,104400.00,EMP-0277
REQ-0028,Finance & Accounting,G&A,Senior Financial Analyst,2025-07-30,2025-09-10,2025-10-11,Backfill,Filled,122500.00,EMP-0278
REQ-0029,Engineering,Engineering,Software Engineer,2025-08-21,2025-10-25,2025-10-19,Backfill,Filled,74100.00,EMP-0280
REQ-0030,Product & Design,Product & Design,"Manager, Design",2025-10-02,2025-11-05,2025-11-05,Backfill,Filled,104700.00,EMP-0282
REQ-0031,Demand Generation,Marketing,"Manager, Demand Generation",2025-08-12,2025-09-27,2025-11-10,Backfill,Filled,166000.00,EMP-0283
REQ-0032,Support,Support & Cloud Ops,Senior Support Engineer,2025-08-09,2025-10-20,2025-11-20,Backfill,Filled,96800.00,EMP-0285
REQ-0033,Professional Services,Professional Services,"Manager, Professional Services",2025-09-13,2025-11-27,2025-11-22,New,Filled,122600.00,EMP-0286
REQ-0034,Support,Support & Cloud Ops,Support Engineer,2025-08-16,2025-10-12,2025-12-15,New,Filled,84900.00,EMP-0287
REQ-0035,Sales Development,Sales,Senior Account Executive,2025-09-01,2025-10-19,2026-01-16,Backfill,Filled,99500.00,EMP-0290
REQ-0036,Engineering,Engineering,Senior Software Engineer,2025-08-22,2025-10-20,2026-01-21,Backfill,Filled,86100.00,EMP-0293
REQ-0037,Sales Leadership,Sales,Senior Account Executive,2025-10-08,2025-11-27,2026-01-26,Backfill,Filled,104200.00,EMP-0294
REQ-0038,Cloud Operations,Support & Cloud Ops,Support Engineer,2025-08-29,2025-10-19,2026-02-05,Backfill,Filled,84900.00,EMP-0296
REQ-0039,Engineering,Engineering,Senior Software Engineer,2025-11-23,2026-02-06,2026-02-06,Backfill,Filled,87800.00,EMP-0297
REQ-0040,Sales - Mid-Market,Sales,Senior Account Executive,2025-11-17,2026-01-28,2026-02-23,Backfill,Filled,106800.00,EMP-0299
REQ-0041,Customer Success,Customer Success,"Manager, Customer Success",2025-11-26,2026-01-09,2026-02-24,Backfill,Filled,124100.00,EMP-0301
REQ-0042,Product & Design,Product & Design,VP Product,2025-11-15,2026-01-19,2026-03-03,Backfill,Filled,206300.00,EMP-0302
REQ-0043,Sales - Mid-Market,Sales,Senior Account Executive,2025-11-19,2026-01-22,2026-03-09,Backfill,Filled,100600.00,EMP-0304
REQ-0044,Sales - SMB,Sales,Senior Account Executive,2025-11-23,2026-02-04,2026-03-10,Backfill,Filled,107500.00,EMP-0305
REQ-0045,Sales - Mid-Market,Sales,"Director, Sales",2025-11-01,2026-01-07,2026-03-10,Backfill,Filled,148800.00,EMP-0306
REQ-0046,Customer Success,Customer Success,Customer Success Manager,2026-02-08,2026-03-24,2026-03-26,Backfill,Filled,74200.00,EMP-0312
REQ-0047,Finance & Accounting,G&A,"Director, Finance",2026-01-31,2026-03-17,2026-03-26,New,Filled,255100.00,EMP-0313
REQ-0048,Sales Leadership,Sales,Senior Account Executive,2026-02-22,2026-04-02,2026-04-01,Backfill,Filled,112300.00,EMP-0314
REQ-0049,Customer Success,Customer Success,"Director, Customer Success",2026-01-24,2026-02-23,2026-04-09,Backfill,Filled,170300.00,EMP-0317
REQ-0050,Product & Design,Product & Design,Product Manager,2026-02-01,2026-03-17,2026-04-15,Backfill,Filled,82400.00,EMP-0318
REQ-0051,Sales - Enterprise,Sales,Enterprise Account Executive,2025-11-29,2026-01-11,2026-04-19,Backfill,Filled,142300.00,EMP-0319
REQ-0052,Demand Generation,Marketing,Marketing Manager,2026-03-02,2026-04-21,2026-04-20,Backfill,Filled,109500.00,EMP-0320
REQ-0053,Solutions Engineering,Sales,VP Sales,2025-11-17,2025-12-30,2026-04-24,Backfill,Filled,258100.00,EMP-0321
REQ-0054,Customer Success,Customer Success,"Manager, Customer Success",2025-12-28,2026-03-13,2026-05-21,Backfill,Filled,131300.00,EMP-0322
REQ-0055,Engineering,Engineering,Senior Software Engineer,2026-04-15,2026-05-24,2026-05-21,Backfill,Filled,100600.00,EMP-0323
REQ-0056,Finance & Accounting,G&A,"Manager, People Operations",2026-03-13,2026-05-20,2026-05-25,Backfill,Filled,182500.00,EMP-0324
REQ-0057,Sales Operations,Sales,Senior Account Executive,2026-02-18,2026-04-13,2026-06-05,Backfill,Filled,103800.00,EMP-0325
REQ-0058,Support,Support & Cloud Ops,Support Engineer,2026-06-02,2026-07-26,,New,Open,79600.00,
REQ-0059,Support,Support & Cloud Ops,"Manager, Support",2025-06-16,2025-08-01,,Backfill,Open,116300.00,
REQ-0060,Customer Success,Customer Success,Customer Success Manager,2025-03-27,2025-05-09,,New,Open,72800.00,
REQ-0061,Engineering,Engineering,Staff Software Engineer,2026-04-09,2026-05-24,,New,Open,124200.00,
REQ-0062,Product & Design,Product & Design,Senior Product Manager,2026-03-03,2026-05-12,,Backfill,Open,111600.00,
REQ-0063,Sales - SMB,Sales,Account Executive,2026-03-25,2026-05-10,,New,Open,93700.00,
REQ-0064,Engineering,Engineering,Staff Software Engineer,2025-05-08,2025-07-08,,New,Open,111600.00,
REQ-0065,Sales - Enterprise,Sales,Enterprise Account Executive,2026-02-22,2026-05-02,,Backfill,Open,120600.00,
REQ-0066,Sales - Mid-Market,Sales,Senior Account Executive,2025-02-14,2025-04-14,,New,Open,98000.00,
REQ-0067,Customer Success,Customer Success,Associate CSM,2025-10-04,2025-12-13,,Backfill,Open,48200.00,
REQ-0068,Demand Generation,Marketing,Marketing Associate,2026-05-02,2026-06-30,,New,Open,88600.00,
REQ-0069,Sales - Enterprise,Sales,Enterprise Account Executive,2026-05-06,2026-06-30,,New,Open,115700.00,
REQ-0070,Sales - Enterprise,Sales,Enterprise Account Executive,2025-12-26,2026-01-25,,Backfill,Open,128900.00,
REQ-0071,Engineering,Engineering,Software Engineer,2026-04-17,2026-05-17,,Backfill,Open,65400.00,
REQ-0072,Legal & Corporate,G&A,Accounting Associate,2026-04-10,2026-06-04,,Backfill,Open,67900.00,
REQ-0073,Sales - Mid-Market,Sales,Account Executive,2025-09-22,2025-11-13,,Backfill,Open,78900.00,
REQ-0074,Support,Support & Cloud Ops,Site Reliability Engineer,2026-05-07,2026-06-20,,New,Cancelled,103700.00,
REQ-0075,Product Marketing,Marketing,Marketing Associate,2026-06-04,2026-07-23,,Backfill,Cancelled,86100.00,
REQ-0076,Customer Success,Customer Success,Customer Success Manager,2026-03-26,2026-05-27,,New,Cancelled,77100.00,
REQ-0077,Product & Design,Product & Design,"Manager, Design",2026-04-23,2026-06-07,,New,Cancelled,112700.00,
REQ-0078,IT & Corporate Systems,G&A,"Director, Finance",2026-01-07,2026-02-25,,Backfill,Cancelled,165100.00,
REQ-0079,Customer Success,Customer Success,VP Customer Success,2026-06-11,2026-07-21,,Backfill,Cancelled,232500.00,
REQ-0080,Support,Support & Cloud Ops,Support Engineer,2026-04-02,2026-05-02,,New,Cancelled,70800.00,
REQ-0081,Finance & Accounting,G&A,Financial Analyst,2026-05-16,2026-06-25,,New,Cancelled,53500.00,
REQ-0082,Customer Success,Customer Success,Senior Customer Success Manager,2026-05-25,2026-06-24,,New,Cancelled,97000.00,
REQ-0083,Quality & Release,Engineering,Associate Software Engineer,2025-09-04,2025-10-26,,Backfill,Cancelled,55600.00,
REQ-0084,Engineering,Engineering,Senior Software Engineer,2025-04-06,2025-05-16,,New,Cancelled,94000.00,
